"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Feeding","Right Breast","27-Nov.-2018 9:20 pm","27-Nov.-2018 9:31 pm",""
"Diapering","Poo","27-Nov.-2018 9:15 pm","27-Nov.-2018 9:15 pm",""
"Feeding","Meal","27-Nov.-2018 9:00 pm","27-Nov.-2018 9:00 pm",""
"Leisure","Bath time","27-Nov.-2018 8:35 pm","27-Nov.-2018 8:55 pm",""
"Diapering","Pee & Poo","27-Nov.-2018 6:55 pm","27-Nov.-2018 6:55 pm",""
"Feeding","Meal","27-Nov.-2018 6:27 pm","27-Nov.-2018 6:27 pm",""
"Diapering","Pee","27-Nov.-2018 5:00 pm","27-Nov.-2018 5:00 pm",""
"Sleep","","27-Nov.-2018 3:03 pm","27-Nov.-2018 4:25 pm",""
"Feeding","Left Breast","27-Nov.-2018 2:55 pm","27-Nov.-2018 3:02 pm",""
"Diapering","Pee","27-Nov.-2018 2:30 pm","27-Nov.-2018 2:30 pm",""
"Feeding","Meal","27-Nov.-2018 1:18 pm","27-Nov.-2018 1:18 pm",""
"Diapering","Pee","27-Nov.-2018 12:15 pm","27-Nov.-2018 12:15 pm",""
"Sleep","","27-Nov.-2018 10:41 am","27-Nov.-2018 12:00 pm",""
"Feeding","Right Breast","27-Nov.-2018 10:32 am","27-Nov.-2018 10:40 am",""
"Feeding","Meal","27-Nov.-2018 9:06 am","27-Nov.-2018 9:06 am",""
"Diapering","Pee","27-Nov.-2018 8:35 am","27-Nov.-2018 8:35 am",""
"Sleep","","27-Nov.-2018 6:24 am","27-Nov.-2018 8:26 am",""
"Feeding","Left Breast","27-Nov.-2018 6:14 am","27-Nov.-2018 6:23 am",""
"Sleep","","27-Nov.-2018 1:07 am","27-Nov.-2018 6:13 am",""
"Feeding","Right Breast","27-Nov.-2018 1:00 am","27-Nov.-2018 1:06 am",""
"Sleep","","26-Nov.-2018 9:44 pm","27-Nov.-2018 12:58 am",""
"Feeding","Left Breast","26-Nov.-2018 9:35 pm","26-Nov.-2018 9:43 pm",""
"Leisure","Bath time","26-Nov.-2018 8:01 pm","26-Nov.-2018 8:25 pm",""
"Feeding","Meal","26-Nov.-2018 7:25 pm","26-Nov.-2018 7:25 pm",""
"Diapering","Pee","26-Nov.-2018 6:00 pm","26-Nov.-2018 6:00 pm",""
"Feeding","Right Breast","26-Nov.-2018 5:51 pm","26-Nov.-2018 5:57 pm",""
"Sleep","","26-Nov.-2018 3:50 pm","26-Nov.-2018 4:30 pm",""
"Feeding","Meal","26-Nov.-2018 2:15 pm","26-Nov.-2018 2:15 pm",""
"Diapering","Pee & Poo","26-Nov.-2018 1:30 pm","26-Nov.-2018 1:30 pm",""
